transactionkeynumeric,modificationtimestamp,transactionnumber,sourcesystemmodificationtimestamp,lifecyclestatus,salesprice,listprice,addressfull,stateorprovince,transactionreportkeynumeric,modificationtimestamp,sourcesystemmodificationtimestamp,transactionkeynumeric,memberkeynumeric,propertyaddress,salespricevolume,lifecyclestatus,isreferral
2,2023-07-15 10:30:00+00,TXN00002,2024-06-15 10:30:00+00,Pending,270000,255000,"456 Oak Avenue, Lincoln",NE,2,2023-08-22 09:47:00+00,2023-08-22 09:47:00+00,2,1,"456 Oak Avenue, Lincoln",270000,Pending,f
3,2023-08-15 11:00:00+00,TXN00003,2024-06-15 11:00:00+00,Completed,420000,430000,"789 Pine Road, Salem",OR,3,2023-09-30 11:12:00+00,2023-09-30 11:12:00+00,3,2,"789 Pine Road, Salem",420000,Completed,t
4,2023-09-15 11:30:00+00,TXN00004,2024-06-15 11:30:00+00,Cancelled,,370000,"101 Birch Lane, Denver",CO,4,2023-11-15 13:54:00+00,2023-11-15 13:54:00+00,4,3,"101 Birch Lane, Denver",,Cancelled,f
5,2023-03-15 12:00:00+00,TXN00005,2024-06-15 12:00:00+00,Completed,500000,510000,"202 Cedar Street, Austin",TX,5,2024-01-10 08:32:00+00,2024-01-10 08:32:00+00,5,4,"202 Cedar Street, Austin",500000,Completed,t
6,2023-06-15 12:30:00+00,TXN00006,2024-06-15 12:30:00+00,Pending,320000,325000,"303 Elm Avenue, Seattle",WA,6,2024-03-05 16:44:00+00,2024-03-05 16:44:00+00,6,6,"303 Elm Avenue, Seattle",320000,Pending,f
7,2023-06-15 13:00:00+00,TXN00007,2024-06-15 13:00:00+00,Completed,275000,280000,"404 Spruce Drive, Miami",FL,7,2024-04-19 10:20:00+00,2024-04-19 10:20:00+00,7,8,"404 Spruce Drive, Miami",275000,Completed,t
8,2023-06-15 13:30:00+00,TXN00008,2024-06-15 13:30:00+00,Cancelled,,295000,"505 Willow Court, Boston",MA,8,2024-05-27 15:45:00+00,2024-05-27 15:45:00+00,8,10,"505 Willow Court, Boston",,Cancelled,f
9,0203-06-15 14:00:00+00,TXN00009,2024-06-15 14:00:00+00,Pending,450000,460000,"606 Aspen Way, Phoenix",AZ,9,2024-06-12 12:33:00+00,2024-06-12 12:33:00+00,9,1,"606 Aspen Way, Phoenix",450000,Pending,t
10,2023-06-15 14:30:00+00,TXN00010,2024-06-15 14:30:00+00,Completed,420000,390000,"707 Cypress Circle, Chicago",IL,10,2024-06-15 14:30:00+00,2024-06-15 14:30:00+00,10,5,"707 Cypress Circle, Chicago",420000,Completed,f
11,2023-11-15 14:30:00+00,TXN00011,2024-06-15 14:30:00+00,Completed,420000,420000,"110 S Hope St, Los Angeles",CA,11,2023-07-15 14:23:00+00,2023-07-15 14:23:00+00,1,1,"123 Maple Street, Springfield",350000,Completed,t
